Address,value
10004004220,1000000
10009008108,12000000
10013010608,1000000
10001000620,4500000
10001001520,5000000
10009008512,1800000
10007007220,2500000
10001001923,3800000
10003003220,3000000
10005004623,2500000
10006005917,1000000
10006005913,6000000
10003003217,3500000
10001001109,8000000
10012010120,2500000
10010008915,200000
10004004217,4000000
10012010111,2000000
10012010108,2500000
10011009714,2000000
10005004620,1200000
10006005910,3300000
10006006314,2000000
10106018023,3000000
10101011211,4000000
10109020813,4500000
10108020423,1600000
10103013607,3300000
10103013620,5000000
10105015608,6500000
10108020408,3500000
10109020814,4500000
10101010808,7000000
10103013623,8000000
10102012411,3000000
10109020820,6000000
10113024008,1500000
10105016808,1600000
10105016816,3000000
10105016823,1200000
10115025217,2500000
10104014409,4500000
10107019217,4500000
10107019223,500000
10110021613,2000000
10111023223,2500000
10111023212,5000000
10111023211,15000000
10110022020,1000000
10104014809,3000000
10107019623,4000000
10105017208,3000000
10105017607,2000000
10116026008,4500000
10111022423,4200000
10111022417,2500000
10106018423,4000000
10105016420,3500000
10219033420,2000000
10210031411,8500000
10201026211,12000000
10207029817,5000000
10218033011,3000000
10202027423,8000000
10210031023,4000000
10208030608,4000000
10208030617,5500000
10205028620,6000000
10204028208,2000000
10204028211,6000000
10204028223,3000000
10214031814,4500000
10207030211,360000
10325047823,2700000
10303041814,2300000
10302036023,3500000
10303040309,11800000
10303040308,4000000
10310043923,2200000
10303040923,4000000
10303037915,6000000
10303040915,4000000
10303039917,7000000
10322047313,2500000
10320046312,5000000
10303040323,8000000
10408054517,3000000
10402050111,1000000
10402050114,5500000
10415057708,2000000
10403050508,2500000
10403050520,3500000
10403050511,3000000
10407053311,5000000
10405052111,3500000
10405052108,7000000
10405052123,3000000
10407053308,4000000
10409054920,7000000
10401048820,5000000
10413057311,4000000
10413057317,3000000
10410055314,5000000
10404051723,3000000
10401049311,4300000
10410055717,3500000
10410055720,3500000
10401049717,2500000
10401049714,18000000
10406052520,6700000
10406052514,8000000
10403051307,1200000
10411056123,4200000
10411056120,3000000
10411056108,1800000
10408054114,8000000
10507065814,2000000
10502061017,8000000
10507065823,2500000
10511068223,3000000
10511068217,1500000
10501058513,4000000
10509067008,3200000
10501058514,3000000
10501058520,2400000
10509067020,4000000
10501059020,3000000
10505064113,1000000
10501058511,3000000
10502062208,3000000
10510067423,4000000
10502061414,2000000
10502061408,3000000
10503063008,3000000
10505064514,2000000
10508066208,4000000
10502060210,4000000
10507065409,3000000
10502060214,3500000
10502060608,3500000
10514069408,1500000
10502061823,2000000
10509066611,3000000
10502061818,2000000
10509066615,5000000
10507065407,2500000
10503063020,3500000
10502062612,6000000
10502061817,10000000
10507065415,5000000
10502062620,6000000
10509066610,6000000
10606076808,2000000
10608077720,1000000
10603074820,4000000
10624082123,3500000
10624082120,3500000
10603072218,5000000
10607077308,4500000
10607077320,3500000
10603073520,3500000
10605075914,2200000
10603073116,5000000
10601070420,1800000
10601070418,3000000
10613081620,1500000
10613081608,2000000
10603074323,3000000
10625082520,1000000
10603072620,5000000
10603072609,21000000
10707088317,18000000
10710091108,4500000
10707085608,5000000
10706084415,3000000
10706084423,2000000
10712092017,5000000
10707086023,3500000
10708090220,1500000
10707088811,8000000
10707088817,3000000
10707088820,7500000
10707087414,5000000
10707087417,6000000
10707086911,5000000
10708090208,1000000
10711091608,1500000
10707084820,3000000
10707084823,4000000
10707087420,7000000
10707089709,2500000
10706084411,3000000
10715093323,2000000
10707086511,8000000
10707085623,4000000
10725095314,2000000
10707085218,9000000
10707085223,19000000
10709090723,2500000
10709090720,3000000
10707086923,10000000
10707085217,11500000
10707087808,8000000
10707087814,6000000
10724094920,250000
10707089723,3000000
10711091611,2000000
10706084420,1500000
10707088323,10000000
10707089308,8000000
10815104620,2000000
10803097817,3500000
10809103020,4000000
10802096620,7000000
10808102620,7000000
10808102615,3000000
10803097417,5000000
10805099017,4000000
10808101023,5000000
10802097014,7000000
10802097020,3000000
10802097023,5000000
10808102623,3300000
10805099023,3000000
10805099020,2000000
10808101816,8000000
10916111508,500000
10916110311,2800000
10905107114,3300000
10918117523,2800000
10918117510,3000000
10908108317,2000000
10907107911,5500000
10916116720,10000000
10916111920,3500000
10916111911,7000000
10908108308,2000000
10916111908,5000000
10916115120,9000000
10905107108,3000000
10916115108,9000000
10915109508,3500000
10916115123,10000000
10916116320,15000000
10916113514,2000000
10916113123,2200000
10916113917,1200000
10918117517,4000000
10916115523,5000000
10916114318,15000000
10935119518,1700000
10916111123,17000000
10907107915,2500000
10917117117,2250000
10913108711,4000000
10916112316,2800000
10935119508,3000000
10916112708,1000000
10906107514,2000000
10916112711,4500000
10920118317,3500000
10920118308,2000000
10905107120,3000000
10934119920,6000000
10916113114,3000000
10934119912,5000000
10920118320,3500000
10923118720,2500000
10918117508,2000000
10916112720,3000000
11002126408,2000000
11002126411,3500000
11015132920,5000000
11002122417,25000000
11016120809,1400000
11002122423,12000000
11002124314,3000000
11002124317,2500000
11002127408,4000000
11002125920,10000000
11002121820,2000000
11002121823,7000000
11002127914,2500000
11002122408,5000000
11010129823,1600000
11003131817,1700000
11008128818,4000000
11006134707,2000000
11006134713,4000000
11002127917,4000000
11011130320,3500000
11006134720,1800000
11019133315,100000
11002126423,7000000
11107143813,4000000
11104138220,1500000
11102136620,7000000
11104139008,3000000
11103137417,1500000
11104139023,1400000
11104139017,3000000
11105139823,9000000
11105141417,8000000
11105141408,6000000
11105141411,5000000
11105141414,6000000
11105142210,12000000
11107143808,3500000
11105140611,4500000
11105140614,5000000
11105140616,4500000
11105141423,2000000
11105142220,5700000
11107143820,3500000
11101135816,4000000
11105141023,1700000
11105141008,2500000
11103137820,2000000
11110145812,2800000
11104138611,5000000
11104138207,6000000
11104138217,5500000
11104139011,3000000
11104139014,2000000
11105139820,8000000
11102136611,6500000
11103137808,4000000
11110145823,2000000
11105141820,3000000
11105141817,3500000
11104138608,3500000
11105140220,8000000
11106143420,7000000
11113146620,3500000
11104139417,5000000
11104139420,4000000
11101135414,3000000
11102136217,3500000
11102136214,3500000
11102137020,7500000
11102137011,8000000
11102137023,4500000
11205154014,2300000
11205154008,500000
11203150708,2500000
11206155308,5000000
11206155314,5000000
11208157111,4000000
11208157120,3500000
11204152714,1500000
11204153608,2000000
11207156214,1500000
11204153617,7000000
11204151914,500000
11204151920,3000000
11206154923,2000000
11206154914,3000000
11201149123,3000000
11204153123,5000000
11204153120,2000000
11204152711,1600000
11204152723,1000000
11203151523,3500000
11203151517,3500000
11210157923,2000000
11210157920,1000000
11208156720,300000
11208156717,5500000
11205154520,10000000
11204152308,2500000
11205154511,4000000
11205154514,5000000
11201149520,3000000
11210157911,2500000
11210157908,2600000
11207156208,4500000
11204153611,1000000
11206154917,3500000
11209157523,4000000
11209157520,4000000
11202150314,1000000
11202150308,2900000
11202149920,2000000
11301158813,3200000
11303162420,10000000
11306168820,5000000
11306168812,2000000
11307170014,2000000
11307170010,2000000
11301158417,3000000
11304164417,2000000
11303162815,7000000
11306168017,2500000
11306168023,2000000
11301158423,2000000
11301158411,3500000
11304166823,6500000
11304166817,5500000
11304166016,4000000
11307169215,3000000
11302161215,5000000
11302159623,3300000
11302160818,4300000
11304164423,2000000
11306168420,2000000
11304166023,2700000
11304163620,10000000
11302160023,6500000
11304166410,6000000
11304166423,4000000
11301159211,2500000
11305167623,4000000
11302160017,7000000
11303161620,2300000
11304164413,7000000
11304164014,12000000
11301159220,2000000
11307169623,3000000
11402175408,2500000
11407181817,200000
11405180220,3000000
11403177814,2500000
11403178220,3500000
11402174623,4000000
11402174608,6300000
11402177023,5000000
11401171817,2000000
11404179008,5000000
11402174614,7000000
11401172223,5000000
11402173814,3000000
11402173823,4500000
11409183408,1500000
11403177423,3000000
11409183020,2500000
11401173020,4700000
11401173014,5500000
11509191520,3800000
11503186823,4000000
11507190711,2500000
11503186817,3000000
11503186814,3000000
11507190320,2000000
11505189017,3000000
11501183711,2000000
11506189420,2000000
11509191507,2000000
11503186317,2000000
11503186323,4000000
11510191914,1000000
11501184112,2500000
11501184120,2500000
11502185314,500000
11502185311,2500000
11503186320,2500000
11508191114,2000000
11502184923,2000000
11505188523,1000000
11506189923,4000000
11502184520,3000000
11506189920,4500000
11503187217,2000000
11503187220,3000000
11507190308,2500000
11503186808,1000000
11604196611,6000000
11603196223,2000000
11604196608,2000000
11604196620,4500000
11601193808,6000000
11602195417,5000000
11602195420,3000000
11603196220,3500000
11603196217,4800000
11603196208,4000000
11601194211,4000000
11601194217,800000
11602195020,2500000
11602195023,3500000
11607199014,2000000
11601194623,5000000
11604196617,5000000
11604197014,1500000
11601194614,5000000
11601194616,5500000
11603195808,6000000
11601193310,6000000
11701202811,3500000
11701202814,2000000
11701201223,20000000
11701201617,5200000
11701201623,7000000
11701201611,10000000
11701202423,4000000
11701202408,8000000
11701201214,6000000
11701202411,4000000
11704206814,2400000
11701202008,4000000
11701202414,2800000
11707209208,2100000
11701201607,6000000
11705208023,2100000
11706208423,800000
11702204814,3000000
11702204423,3600000
11702203617,2500000
11701202417,3500000
11701202823,5000000
11701203220,600000
11702203620,4000000
11702204020,2000000
11705207620,1800000
11705207623,2500000
11708209623,1500000
11704207208,2000000
11702204023,5000000
11706208817,1200000
11702204414,3000000
11704206808,2500000
11704206811,2500000
11704207214,5000000
11705207614,2400000
11810219609,10000000
11806216014,7000000
11809219210,4000000
11809219223,9000000
11801211617,1500000
11804214814,3000000
11806216023,7000000
11806216020,850000
11803212820,100000
11803213217,1000000
11810219613,1000000
11809219214,13000000
11801211208,12000000
11801210020,5000000
11801210023,5000000
11801210015,4000000
11803214014,3000000
11810220007,6000000
11810220008,6000000
11810220020,5000000
11801210415,3000000
11806216414,4000000
11805215611,3000000
11801210814,6000000
11807218017,6500000
11904223823,4300000
11909229808,2200000
11904225020,100000
11904225423,4500000
11904226623,4000000
11903222620,2000000
11904226620,2000000
11907227823,2700000
11904225018,5700000
11901220211,1500000
11904226211,4000000
11904226220,3000000
11901221412,1000000
11907229008,2500000
11907229015,2500000
11907229020,2500000
11904224608,2000000
11903223011,2100000
11901221811,3500000
11904227411,2000000
11904225820,7000000
11901221023,2500000
11901221020,3000000
11904224223,7000000
11907228617,3000000
12002231808,4000000
12002231820,5000000
12004237507,1700000
12004237517,250000
12004237514,250000
12003236223,4500000
12003234917,4000000
12002232317,8000000
12002232308,3000000
12002232309,3000000
12004236620,3000000
12005237918,1500000
12002232320,3000000
12002232323,2000000
12002232920,3000000
12002232918,1700000
12002232914,3000000
12001231420,1500000
12005238323,3500000
12005238320,1000000
12004237023,1500000
12008239623,1500000
12003235317,2700000
12003235323,3000000
12003235811,7000000
12003235307,2100000
12103242308,6000000
12105245316,1200000
12105245320,3000000
12105244808,4000000
12105244817,200000
12105244820,2000000
12105244823,3500000
12109249413,2500000
12109249409,1500000
12105244411,5500000
12105244414,12000000
12105244420,8000000
12105244423,2000000
12105244415,10000000
12104242708,3700000
12104242714,3000000
12105244020,3000000
12105244023,2500000
12105246108,7800000
12105246118,3000000
12103241923,3500000
12101240311,5000000
12105244410,8000000
12107248612,1000000
12102241517,4000000
12102241520,3700000
12105243517,4500000
12105243520,5000000
12105246617,800000
12106247008,4500000
12106247011,5000000
12106247014,4500000
12106247017,1750000
12111250214,3500000
12106247411,2800000
12111250223,3000000
12102241120,4000000
12202250517,10000000
12202254114,6000000
12202254108,5500000
12210263723,3000000
12202250914,7000000
12202250917,6000000
12202250511,1000000
12202252117,7000000
12203255314,6000000
12204257711,2500000
12205259323,3000000
12202253317,3000000
12202250520,4000000
12208261708,7000000
12208261723,4000000
12203255708,3000000
12205258112,1000000
12203256117,4000000
12203255707,3000000
12208262114,6500000
12204256913,3000000
12208262108,4500000
12203254914,14000000
12203254920,25000000
12203254912,25000000
12211264520,5000000
12211264523,6000000
12204257316,6000000
12204257308,8000000
12202253714,6000000
12211264108,4000000
12211264115,4700000
12202253717,4500000
12203256123,3500000
12202253708,4000000
12211264109,4000000
12211264120,4000000
12207261314,4000000
12202252923,8000000
12205258912,3000000
12204257320,23000000
12204257323,15000000
12202251320,9000000
12203254911,25000000
12203254916,18000000
12202254111,5500000
12205258917,2000000
12309287512,3500000
12319292320,3000000
12301280315,10000000
12301265507,10000000
12301273111,7000000
12301277114,15000000
12301271514,15000000
12301266713,20000000
12301277911,5000000
12301277920,7500000
12301277923,6000000
12318287117,6000000
12301275908,5000000
12318287108,3000000
12301274720,5000000
12304291110,13000000
12312289917,1400000
12301267109,25000000
12301280320,8000000
12312289913,2500000
12301280308,14000000
12301274312,4000000
12301274308,4000000
12301274315,4000000
12301274323,4000000
12301280716,5000000
12301274316,4000000
12301274320,4000000
12301267520,15000000
12301267508,30000000
12301269908,35000000
12301280713,3500000
12301268320,15000000
12301285108,22000000
12301269520,5000000
12301269123,15000000
12301269115,23000000
12301268712,25000000
12301268723,25000000
12301271911,50000000
12301272708,10000000
12301284716,50000000
12301272717,14000000
12301275509,30000000
12316288318,4000000
12316288320,6500000
12301283114,3000000
12301279916,10000000
12310289523,8500000
12301273909,7000000
12301277514,11000000
12301277508,15000000
12301278323,7000000
12301283523,8000000
12301278313,10000000
12301281115,3500000
12301282711,3000000
12301278708,8000000
12301278711,8000000
12301278714,8000000
12301278717,8000000
12301278720,8000000
