Address,Fasl,weight,khanevartype,province,town,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_netincome
11401171708,4,266.33901304883,1,CharmahalBakhtiari,1,292840000.0,0.0,0.0,10920000.0,303760000.0
11401171711,4,266.33901304883,1,CharmahalBakhtiari,1,367930018.0,200000000.0,5190000.0,21840000.0,594960018.0
11401171714,4,266.33901304883,1,CharmahalBakhtiari,1,267965009.0,0.0,5190000.0,21840000.0,294995009.0
11401171717,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,180000000.0,5460000.0,185460000.0
11401171720,4,266.33901304883,1,CharmahalBakhtiari,1,100000000.0,0.0,180000000.0,16380000.0,296380000.0
11401171723,4,266.33901304883,1,CharmahalBakhtiari,1,271100000.0,0.0,4140000.0,16380000.0,291620000.0
11401171808,1,266.33901304883,1,CharmahalBakhtiari,1,36000000.0,0.0,21220000.0,10920000.0,68140000.0
11401171811,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,280000000.0,40800000.0,21840000.0,342640000.0
11401171814,1,266.33901304883,1,CharmahalBakhtiari,1,240000000.0,0.0,0.0,27300000.0,267300000.0
11401171817,1,266.33901304883,1,CharmahalBakhtiari,1,30000000.0,0.0,13710000.0,10920000.0,54630000.0
11401171820,1,266.33901304883,1,CharmahalBakhtiari,1,108000000.0,0.0,720000.0,16835000.0,125555000.0
11401171823,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,240000000.0,0.0,21840000.0,261840000.0
11401171908,2,266.33901304883,1,CharmahalBakhtiari,1,192000000.0,0.0,218500000.0,21840000.0,432340000.0
11401171911,2,266.33901304883,1,CharmahalBakhtiari,1,350000000.0,0.0,4000000.0,16380000.0,370380000.0
11401171914,2,266.33901304883,1,CharmahalBakhtiari,1,0.0,250000000.0,4000000.0,5460000.0,259460000.0
11401171917,2,266.33901304883,1,CharmahalBakhtiari,1,402111000.0,0.0,4700000.0,25480000.0,432291000.0
11401171920,2,266.33901304883,1,CharmahalBakhtiari,1,372000000.0,0.0,4500000.0,21840000.0,398340000.0
11401171923,2,266.33901304883,1,CharmahalBakhtiari,1,120000000.0,185000000.0,6000000.0,21840000.0,332840000.0
11401172011,3,319.606815658596,1,CharmahalBakhtiari,1,200000000.0,0.0,1200000.0,16380000.0,217580000.0
11401172014,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,70000000.0,163000000.0,38220000.0,271220000.0
11401172017,3,319.606815658596,1,CharmahalBakhtiari,1,225000000.0,0.0,0.0,21840000.0,246840000.0
11401172020,3,319.606815658596,1,CharmahalBakhtiari,1,398000000.0,0.0,0.0,21840000.0,419840000.0
11401172023,3,319.606815658596,1,CharmahalBakhtiari,1,400000000.0,0.0,0.0,21840000.0,421840000.0
11401172108,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,291000000.0,10920000.0,301920000.0
11401172111,4,266.33901304883,1,CharmahalBakhtiari,1,160000000.0,0.0,14350000.0,27300000.0,201650000.0
11401172114,4,266.33901304883,1,CharmahalBakhtiari,1,175000000.0,0.0,64200000.0,16380000.0,255580000.0
11401172117,4,266.33901304883,1,CharmahalBakhtiari,1,311000000.0,0.0,99550000.0,21840000.0,432390000.0
11401172120,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,30000000.0,218900000.0,10920000.0,259820000.0
11401172123,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,410000000.0,13500000.0,21840000.0,445340000.0
11401172208,1,319.606815658596,1,CharmahalBakhtiari,1,194730000.0,120000000.0,2400000.0,16380000.0,333510000.0
11401172211,1,319.606815658596,1,CharmahalBakhtiari,1,268987402.0,0.0,900000.0,21840000.0,291727402.0
11401172217,1,319.606815658596,1,CharmahalBakhtiari,1,0.0,300000000.0,3500000.0,27300000.0,330800000.0
11401172220,1,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,52230000.0,21840000.0,74070000.0
11401172223,1,319.606815658596,1,CharmahalBakhtiari,1,153787402.0,0.0,210000000.0,21840000.0,385627402.0
11401172308,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,480000000.0,351325000.0,16380000.0,847705000.0
11401172311,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,600000000.0,0.0,21840000.0,621840000.0
11401172314,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,250000000.0,0.0,10920000.0,260920000.0
11401172320,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,240000000.0,800000.0,10920000.0,251720000.0
11401172323,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,80000000.0,5460000.0,85460000.0
11401172408,3,266.33901304883,1,CharmahalBakhtiari,1,600000000.0,0.0,0.0,21840000.0,621840000.0
11401172412,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,2000000.0,27300000.0,29300000.0
11401172415,3,266.33901304883,1,CharmahalBakhtiari,1,346000000.0,0.0,1340000.0,21840000.0,369180000.0
11401172417,3,266.33901304883,1,CharmahalBakhtiari,1,191350000.0,0.0,1380000.0,16380000.0,209110000.0
11401172420,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,360000000.0,174000000.0,10920000.0,544920000.0
11401172423,3,266.33901304883,1,CharmahalBakhtiari,1,227509416.0,0.0,1730000.0,21840000.0,251079416.0
11401172517,4,1598.03407829298,1,CharmahalBakhtiari,1,0.0,0.0,162220000.0,10920000.0,173140000.0
11401172608,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,360000000.0,36800000.0,21840000.0,418640000.0
11401172612,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,335000000.0,1800000.0,32760000.0,369560000.0
11401172614,1,266.33901304883,1,CharmahalBakhtiari,1,192000000.0,0.0,8870000.0,14105000.0,214975000.0
11401172617,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,257000000.0,0.0,21840000.0,278840000.0
11401172620,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,240000000.0,0.0,21840000.0,261840000.0
11401172623,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,167600000.0,10920000.0,178520000.0
11401172708,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,700000000.0,400000000.0,21840000.0,1121840000.0
11401172711,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,180000000.0,174000000.0,21840000.0,375840000.0
11401172717,2,319.606815658596,1,CharmahalBakhtiari,1,96000000.0,0.0,58000000.0,10920000.0,164920000.0
11401172720,2,319.606815658596,1,CharmahalBakhtiari,1,360000000.0,0.0,2000000.0,27300000.0,389300000.0
11401172723,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,580000000.0,0.0,27300000.0,607300000.0
11401172808,3,319.606815658596,1,CharmahalBakhtiari,1,620000000.0,0.0,0.0,16380000.0,636380000.0
11401172811,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,337000000.0,10920000.0,347920000.0
11401172815,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,743000000.0,0.0,743000000.0
11401172818,3,319.606815658596,1,CharmahalBakhtiari,1,100000000.0,480000000.0,220000000.0,27300000.0,827300000.0
11401172823,3,319.606815658596,1,CharmahalBakhtiari,1,250000000.0,0.0,1380000.0,16380000.0,267760000.0
11401172911,4,319.606815658596,1,CharmahalBakhtiari,1,1060020000.0,0.0,0.0,0.0,1060020000.0
11401172914,4,319.606815658596,1,CharmahalBakhtiari,1,226000000.0,0.0,0.0,10920000.0,236920000.0
11401172917,4,319.606815658596,1,CharmahalBakhtiari,1,289700000.0,216000000.0,0.0,16380000.0,522080000.0
11401172920,4,319.606815658596,1,CharmahalBakhtiari,1,372650000.0,0.0,4140000.0,16380000.0,393170000.0
11401172923,4,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,158000000.0,5460000.0,163460000.0
11401173008,1,319.606815658596,1,CharmahalBakhtiari,1,110000000.0,480000000.0,2500000.0,21840000.0,614340000.0
11401173011,1,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,381325000.0,21840000.0,403165000.0
11401173014,1,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,227322500.0,5460000.0,232782500.0
11401173020,1,319.606815658596,1,CharmahalBakhtiari,1,0.0,570000000.0,2500000.0,16380000.0,588880000.0
11401173023,1,319.606815658596,1,CharmahalBakhtiari,1,336650000.0,480000000.0,0.0,21840000.0,838490000.0
11401173108,2,319.606815658596,1,CharmahalBakhtiari,1,89600000.0,84000000.0,130000000.0,21840000.0,325440000.0
11401173111,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,10950000.0,35000000.0,10920000.0,56870000.0
11401173114,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,600000000.0,10920000.0,610920000.0
11401173117,2,319.606815658596,1,CharmahalBakhtiari,1,129600000.0,0.0,158970000.0,16380000.0,304950000.0
11401173123,2,319.606815658596,1,CharmahalBakhtiari,1,420000000.0,0.0,0.0,16380000.0,436380000.0
11401173208,3,319.606815658596,1,CharmahalBakhtiari,1,236548000.0,0.0,4120000.0,21840000.0,262508000.0
11401173211,3,319.606815658596,1,CharmahalBakhtiari,1,300000000.0,0.0,16300000.0,27300000.0,343600000.0
11401173214,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,30000000.0,5460000.0,35460000.0
11401173217,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,82500000.0,10920000.0,93420000.0
11401173223,3,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,550000.0,5460000.0,6010000.0
11401173308,4,266.33901304883,1,CharmahalBakhtiari,1,384960000.0,0.0,10150000.0,27300000.0,422410000.0
11401173311,4,266.33901304883,1,CharmahalBakhtiari,1,236135000.0,0.0,14150000.0,27300000.0,277585000.0
11401173314,4,266.33901304883,1,CharmahalBakhtiari,1,730000000.0,60000000.0,5000000.0,32760000.0,827760000.0
11401173317,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,110000000.0,498000000.0,16380000.0,624380000.0
11401173320,4,266.33901304883,1,CharmahalBakhtiari,1,193905000.0,0.0,13000000.0,21840000.0,228745000.0
11401173323,4,266.33901304883,1,CharmahalBakhtiari,1,0.0,160000000.0,303000000.0,0.0,463000000.0
11401173408,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,96000000.0,159320000.0,10920000.0,266240000.0
11401173411,1,266.33901304883,1,CharmahalBakhtiari,1,153787402.0,0.0,0.0,21840000.0,175627402.0
11401173414,1,266.33901304883,1,CharmahalBakhtiari,1,374907402.0,0.0,2500000.0,16380000.0,393787402.0
11401173417,1,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,1800000.0,36855000.0,38655000.0
11401173420,1,266.33901304883,1,CharmahalBakhtiari,1,60000000.0,250000000.0,0.0,27300000.0,337300000.0
11401173423,1,266.33901304883,1,CharmahalBakhtiari,1,468458000.0,0.0,5900000.0,15015000.0,489373000.0
11401173508,2,319.606815658596,1,CharmahalBakhtiari,1,182025840.0,0.0,28100000.0,16380000.0,226505840.0
11401173514,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,240000000.0,1400000.0,16380000.0,257780000.0
11401173517,2,319.606815658596,1,CharmahalBakhtiari,1,0.0,0.0,24000000.0,5460000.0,29460000.0
11401173520,2,319.606815658596,1,CharmahalBakhtiari,1,168876206.0,85000000.0,850000.0,21840000.0,276566206.0
11401173523,2,319.606815658596,1,CharmahalBakhtiari,1,100000000.0,0.0,2000000.0,10920000.0,112920000.0
11401173608,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,23650000.0,10920000.0,34570000.0
11401173611,3,266.33901304883,1,CharmahalBakhtiari,1,120000000.0,0.0,0.0,21840000.0,141840000.0
11401173614,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,113000000.0,1030000.0,10920000.0,124950000.0
11401173617,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,238000000.0,174000000.0,27300000.0,439300000.0
11401173620,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,270000000.0,10920000.0,280920000.0
11401173623,3,266.33901304883,1,CharmahalBakhtiari,1,0.0,0.0,341450000.0,16380000.0,357830000.0
11401173711,4,532.678026097659,1,CharmahalBakhtiari,1,216000000.0,0.0,2100000.0,0.0,218100000.0
11401173714,4,532.678026097659,1,CharmahalBakhtiari,1,284000000.0,0.0,13350000.0,27300000.0,324650000.0
11401173716,4,532.678026097659,1,CharmahalBakhtiari,1,169284031.0,0.0,10030000.0,21840000.0,201154031.0
11402173808,1,466.108421965131,1,CharmahalBakhtiari,2,636210000.0,0.0,61800000.0,0.0,698010000.0
11402173811,1,466.108421965131,1,CharmahalBakhtiari,2,443450000.0,0.0,96000000.0,21840000.0,561290000.0
11402173814,1,466.108421965131,1,CharmahalBakhtiari,2,78000000.0,0.0,194200000.0,10920000.0,283120000.0
11402173817,1,466.108421965131,1,CharmahalBakhtiari,2,317640000.0,360000000.0,70000000.0,21840000.0,769480000.0
11402173820,1,466.108421965131,1,CharmahalBakhtiari,2,355060000.0,250000000.0,0.0,27300000.0,632360000.0
11402173823,1,466.108421965131,1,CharmahalBakhtiari,2,280020000.0,0.0,0.0,16380000.0,296400000.0
11402173908,2,559.330106358157,1,CharmahalBakhtiari,2,500000000.0,0.0,0.0,21840000.0,521840000.0
11402173911,2,559.330106358157,1,CharmahalBakhtiari,2,0.0,700000000.0,0.0,21840000.0,721840000.0
11402173917,2,559.330106358157,1,CharmahalBakhtiari,2,0.0,340000000.0,0.0,32760000.0,372760000.0
11402173920,2,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,60000000.0,5460000.0,65460000.0
11402173923,2,559.330106358157,1,CharmahalBakhtiari,2,598287080.0,0.0,94400000.0,16380000.0,709067080.0
11402174011,3,559.330106358157,1,CharmahalBakhtiari,2,50000000.0,0.0,225050000.0,27300000.0,302350000.0
11402174014,3,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,64630000.0,10920000.0,75550000.0
11402174017,3,559.330106358157,1,CharmahalBakhtiari,2,445300000.0,0.0,301000000.0,21840000.0,768140000.0
11402174020,3,559.330106358157,1,CharmahalBakhtiari,2,0.0,216000000.0,10000000.0,10920000.0,236920000.0
11402174023,3,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,40450000.0,5460000.0,45910000.0
11402174114,4,699.162632947696,1,CharmahalBakhtiari,2,0.0,240000000.0,212500000.0,21840000.0,474340000.0
11402174117,4,699.162632947696,1,CharmahalBakhtiari,2,32500000.0,0.0,347700000.0,16380000.0,396580000.0
11402174120,4,699.162632947696,1,CharmahalBakhtiari,2,298834000.0,240000000.0,209500000.0,0.0,748334000.0
11402174123,4,699.162632947696,1,CharmahalBakhtiari,2,0.0,400000000.0,6000000.0,21840000.0,427840000.0
11402174208,1,559.330106358157,1,CharmahalBakhtiari,2,2400000000.0,940000000.0,0.0,0.0,3340000000.0
11402174211,1,559.330106358157,1,CharmahalBakhtiari,2,3000000000.0,0.0,14000000.0,0.0,3014000000.0
11402174214,1,559.330106358157,1,CharmahalBakhtiari,2,361846000.0,0.0,14000000.0,0.0,375846000.0
11402174220,1,559.330106358157,1,CharmahalBakhtiari,2,194140000.0,600000000.0,12450000.0,21840000.0,828430000.0
11402174223,1,559.330106358157,1,CharmahalBakhtiari,2,913238000.0,0.0,5360000.0,0.0,918598000.0
11402174308,2,559.330106358157,1,CharmahalBakhtiari,2,360000000.0,0.0,0.0,16380000.0,376380000.0
11402174311,2,559.330106358157,1,CharmahalBakhtiari,2,500000000.0,0.0,0.0,0.0,500000000.0
11402174317,2,559.330106358157,1,CharmahalBakhtiari,2,371250000.0,0.0,0.0,21840000.0,393090000.0
11402174320,2,559.330106358157,1,CharmahalBakhtiari,2,468000000.0,0.0,0.0,10920000.0,478920000.0
11402174323,2,559.330106358157,1,CharmahalBakhtiari,2,0.0,94000000.0,243600000.0,16380000.0,353980000.0
11402174408,3,466.108421965131,1,CharmahalBakhtiari,2,417050000.0,400000000.0,0.0,0.0,817050000.0
11402174412,3,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,250000000.0,10920000.0,260920000.0
11402174414,3,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,71000000.0,5460000.0,76460000.0
11402174417,3,466.108421965131,1,CharmahalBakhtiari,2,125000000.0,0.0,1100000.0,16380000.0,142480000.0
11402174420,3,466.108421965131,1,CharmahalBakhtiari,2,380550000.0,0.0,30780000.0,16380000.0,427710000.0
11402174423,3,466.108421965131,1,CharmahalBakhtiari,2,0.0,200000000.0,2000000.0,27300000.0,229300000.0
11402174508,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,560000000.0,228640000.0,32760000.0,821400000.0
11402174511,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,392000000.0,0.0,392000000.0
11402174514,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,322600000.0,10920000.0,333520000.0
11402174517,4,559.330106358157,1,CharmahalBakhtiari,2,389010000.0,0.0,7000000.0,21840000.0,417850000.0
11402174520,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,247000000.0,5460000.0,252460000.0
11402174608,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,0.0,21840000.0,21840000.0
11402174611,1,466.108421965131,1,CharmahalBakhtiari,2,21000000.0,0.0,0.0,16380000.0,37380000.0
11402174614,1,466.108421965131,1,CharmahalBakhtiari,2,549930000.0,0.0,363400000.0,21840000.0,935170000.0
11402174617,1,466.108421965131,1,CharmahalBakhtiari,2,213787402.0,0.0,870000.0,21840000.0,236497402.0
11402174620,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,327000000.0,0.0,327000000.0
11402174623,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,138820000.0,0.0,138820000.0
11402174708,2,466.108421965131,1,CharmahalBakhtiari,2,195000000.0,0.0,474000000.0,21840000.0,690840000.0
11402174711,2,466.108421965131,1,CharmahalBakhtiari,2,80000000.0,0.0,12000000.0,10920000.0,102920000.0
11402174714,2,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,388000000.0,21840000.0,409840000.0
11402174717,2,466.108421965131,1,CharmahalBakhtiari,2,0.0,240000000.0,0.0,27300000.0,267300000.0
11402174720,2,466.108421965131,1,CharmahalBakhtiari,2,264000000.0,0.0,0.0,21840000.0,285840000.0
11402174723,2,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,466000000.0,16380000.0,482380000.0
11402174808,3,559.330106358157,1,CharmahalBakhtiari,2,411000000.0,0.0,0.0,21840000.0,432840000.0
11402174811,3,559.330106358157,1,CharmahalBakhtiari,2,230000000.0,0.0,1750000.0,21840000.0,253590000.0
11402174815,3,559.330106358157,1,CharmahalBakhtiari,2,497490000.0,0.0,0.0,21840000.0,519330000.0
11402174816,3,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,118500000.0,5460000.0,123960000.0
11402174820,3,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,692000000.0,21840000.0,713840000.0
11402174908,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,30200000.0,5460000.0,35660000.0
11402174911,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,7000000.0,21840000.0,28840000.0
11402174916,4,559.330106358157,1,CharmahalBakhtiari,2,90000000.0,0.0,0.0,0.0,90000000.0
11402174917,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,250000000.0,6880000.0,21840000.0,278720000.0
11402174923,4,559.330106358157,1,CharmahalBakhtiari,2,0.0,0.0,76000000.0,10920000.0,86920000.0
11402175008,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,-18000000.0,113850000.0,10920000.0,106770000.0
11402175011,1,466.108421965131,1,CharmahalBakhtiari,2,560620000.0,0.0,277500000.0,27300000.0,865420000.0
11402175014,1,466.108421965131,1,CharmahalBakhtiari,2,613410000.0,0.0,2000000.0,21840000.0,637250000.0
11402175017,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,120000000.0,193000000.0,16380000.0,329380000.0
11402175020,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,6250000.0,16380000.0,22630000.0
11402175023,1,466.108421965131,1,CharmahalBakhtiari,2,0.0,-163900000.0,800000.0,21840000.0,-141260000.0
11402175108,2,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,190780000.0,10920000.0,201700000.0
11402175111,2,466.108421965131,1,CharmahalBakhtiari,2,0.0,0.0,385100000.0,0.0,385100000.0
11402175114,2,466.108421965131,1,CharmahalBakhtiari,2,100440000.0,0.0,339000000.0,21840000.0,461280000.0
