Address,member,degree,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_income
20010394208,1,Elemantry,0.0,100000000.0,2500000.0,32760000.0,135260000.0
20004387813,1,No degree,60000000.0,0.0,0.0,10920000.0,70920000.0
20003386610,1,No degree,43200000.0,0.0,20000000.0,10920000.0,74120000.0
20003386613,1,No degree,0.0,0.0,22000000.0,5460000.0,27460000.0
20003386620,1,Elemantry,21600000.0,103000000.0,500000.0,10920000.0,136020000.0
20004387809,1,Elemantry,0.0,135000000.0,0.0,27300000.0,162300000.0
20004387817,1,Diploma,316800000.0,0.0,0.0,21840000.0,338640000.0
20004387820,1,Diploma,0.0,0.0,0.0,10920000.0,10920000.0
20004387820,2,No degree,0.0,0.0,12000000.0,0.0,12000000.0
20004387811,1,Elemantry,0.0,10000000.0,600000.0,10920000.0,21520000.0
20011395420,1,Secondary,130000000.0,72500000.0,0.0,16380000.0,218880000.0
20001385412,1,Elemantry,102400000.0,0.0,24600000.0,21840000.0,148840000.0
20001385423,1,Elemantry,0.0,70000000.0,154000000.0,10920000.0,234920000.0
20001385420,1,No degree,0.0,0.0,130000000.0,5460000.0,135460000.0
20011395407,1,Secondary,0.0,108500000.0,0.0,21840000.0,130340000.0
20004387823,1,No degree,0.0,120000000.0,0.0,10920000.0,130920000.0
20012396607,1,No degree,0.0,0.0,37000000.0,5460000.0,42460000.0
20010394223,1,Elemantry,0.0,99000000.0,0.0,27300000.0,126300000.0
20010394220,1,Secondary,0.0,0.0,231000000.0,10920000.0,241920000.0
20012396620,1,Elemantry,0.0,96000000.0,1800000.0,10920000.0,108720000.0
20012396609,1,No degree,0.0,18800000.0,12300000.0,10920000.0,42020000.0
20013397807,1,No degree,0.0,0.0,22000000.0,5460000.0,27460000.0
20006390211,1,No degree,0.0,0.0,60000000.0,10920000.0,70920000.0
20006390211,2,No degree,0.0,0.0,9600000.0,0.0,9600000.0
20006390209,1,Elemantry,0.0,90000000.0,0.0,27300000.0,117300000.0
20007392620,1,Elemantry,144000000.0,0.0,0.0,10920000.0,154920000.0
20007392616,1,Elemantry,177812000.0,0.0,0.0,16380000.0,194192000.0
20011395423,1,Elemantry,45000000.0,0.0,10000000.0,21840000.0,76840000.0
20011395416,1,No degree,0.0,0.0,92000000.0,10920000.0,102920000.0
20011395415,1,Elemantry,0.0,140000000.0,0.0,16380000.0,156380000.0
20011395411,1,No degree,0.0,0.0,0.0,10920000.0,10920000.0
20011395411,2,Bachelor,0.0,108500000.0,0.0,0.0,108500000.0
20005389011,1,No degree,0.0,0.0,152260000.0,10920000.0,163180000.0
20005389018,1,Elemantry,40000000.0,0.0,34400000.0,16380000.0,90780000.0
20005389020,1,No degree,0.0,0.0,20000000.0,5460000.0,25460000.0
20005389023,1,No degree,0.0,0.0,69000000.0,5460000.0,74460000.0
20007392611,1,Elemantry,0.0,240000000.0,0.0,16380000.0,256380000.0
20007392615,1,No degree,0.0,0.0,0.0,16380000.0,16380000.0
20007392615,2,Diploma,36000000.0,0.0,0.0,0.0,36000000.0
20007392615,3,Master,272000000.0,0.0,0.0,0.0,272000000.0
20013397808,1,Elemantry,45000000.0,0.0,0.0,16380000.0,61380000.0
20013397817,1,No degree,0.0,0.0,31700000.0,5460000.0,37160000.0
20013397823,1,No degree,20000000.0,9400000.0,15000000.0,10920000.0,55320000.0
20013397814,1,Secondary,45000000.0,55000000.0,0.0,21840000.0,121840000.0
20010394211,1,No degree,0.0,0.0,121000000.0,10920000.0,131920000.0
20010394217,1,Elemantry,0.0,300000000.0,0.0,27300000.0,327300000.0
20013397820,1,Elemantry,0.0,148750000.0,0.0,27300000.0,176050000.0
20001384208,1,Elemantry,0.0,0.0,369000000.0,10920000.0,379920000.0
20001384215,1,Secondary,120000000.0,139500000.0,0.0,21840000.0,281340000.0
20001384220,1,Diploma,156000000.0,0.0,0.0,16380000.0,172380000.0
20001384214,1,No degree,0.0,0.0,148000000.0,5460000.0,153460000.0
20007391820,1,Secondary,204000000.0,0.0,0.0,27300000.0,231300000.0
20007391811,1,Elemantry,0.0,0.0,36000000.0,27300000.0,63300000.0
20007391811,3,Secondary,96000000.0,0.0,0.0,0.0,96000000.0
20007391407,1,No degree,0.0,0.0,7200000.0,5460000.0,12660000.0
20007391408,1,No degree,120000000.0,0.0,0.0,21840000.0,141840000.0
20007391420,1,No degree,0.0,0.0,144000000.0,5460000.0,149460000.0
20012395823,1,Diploma,0.0,70000000.0,0.0,10920000.0,80920000.0
20012395811,1,Diploma,0.0,0.0,0.0,16380000.0,16380000.0
20007391823,1,Elemantry,0.0,161000000.0,0.0,16380000.0,177380000.0
20007391814,1,No degree,0.0,0.0,34000000.0,10920000.0,44920000.0
20007391817,1,Elemantry,156000000.0,0.0,0.0,27300000.0,183300000.0
20007391817,3,Diploma,96000000.0,0.0,0.0,0.0,96000000.0
20007391808,1,No degree,0.0,0.0,30000000.0,16380000.0,46380000.0
20003387014,1,Elemantry,0.0,0.0,16900000.0,10920000.0,27820000.0
20003387014,2,Diploma,0.0,0.0,27000000.0,0.0,27000000.0
20003387017,1,No degree,0.0,0.0,96000000.0,10920000.0,106920000.0
20003387023,1,Diploma,0.0,150000000.0,168000000.0,16380000.0,334380000.0
20003387023,3,No degree,0.0,0.0,12000000.0,0.0,12000000.0
20003387008,1,No degree,0.0,0.0,177900000.0,10920000.0,188820000.0
20003387007,1,No degree,0.0,0.0,67600000.0,16380000.0,83980000.0
20005389008,1,No degree,0.0,0.0,44000000.0,10920000.0,54920000.0
20007391415,1,College,0.0,110000000.0,0.0,10920000.0,120920000.0
20001385415,1,Elemantry,0.0,0.0,155000000.0,10920000.0,165920000.0
20001385408,1,Elemantry,0.0,180000000.0,0.0,10920000.0,190920000.0
20007391423,1,Elemantry,0.0,220000000.0,0.0,10920000.0,230920000.0
20001384223,1,Secondary,223920000.0,0.0,0.0,21840000.0,245760000.0
20001384207,1,Diploma,0.0,266000000.0,0.0,16380000.0,282380000.0
20012395817,1,Elemantry,0.0,0.0,2380000.0,21840000.0,24220000.0
20013397008,1,Secondary,0.0,180000000.0,0.0,27300000.0,207300000.0
20013397020,1,Elemantry,0.0,0.0,600000.0,16380000.0,16980000.0
20009393015,1,No degree,0.0,0.0,12000000.0,10920000.0,22920000.0
20009393015,2,Elemantry,0.0,43000000.0,0.0,0.0,43000000.0
20009393020,1,Elemantry,0.0,120000000.0,0.0,16380000.0,136380000.0
20004388214,1,Elemantry,0.0,9000000.0,50000000.0,10920000.0,69920000.0
20004388220,1,Elemantry,0.0,272500000.0,40000000.0,27300000.0,339800000.0
20004388220,3,Bachelor,144000000.0,0.0,0.0,0.0,144000000.0
20010393414,1,No degree,0.0,0.0,64400000.0,10920000.0,75320000.0
20004388208,1,Elemantry,0.0,31500000.0,337000000.0,10920000.0,379420000.0
20002385814,1,Elemantry,68000000.0,0.0,2800000.0,21840000.0,92640000.0
