Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
20001384225,1,,,,25600000.0,,,1,1401
20001384232,1,,,,25600000.0,,,1,1401
20001384235,1,,0300000000,240000000.0,20800000.0,,,1,1401
20011394620,1,,,20640000.0,20000000.0,,,1,1401
20011394623,1,,,17000000.0,10000000.0,,,1,1401
20003387025,1,,,3000000.0,84000000.0,,,1,1401
20003387032,1,0613000000,,2600000.0,27940000.0,,,1,1401
20001384220,1,,,,25600000.0,,,1,1401
20003387029,1,,,2400000.0,48300000.0,,,1,1401
20011394626,1,,0130000000,12360000.0,10000000.0,,,1,1401
20001384223,1,,,,25600000.0,,,1,1401
20007391823,1,,,17040000.0,10000000.0,,,1,1401
20007391832,1,,,12360000.0,10000000.0,,,1,1401
20009393035,1,0555000000,,,20000000.0,,,1,1401
20009393027,1,,,,,600000000.0,,1,1401
20009393021,1,,,2000000.0,21050000.0,,,1,1401
20006389419,1,,,3600000.0,26560000.0,,,1,1401
20003386635,2,,,1000000.0,68000000.0,,,1,1401
20003386632,1,,,,,20000000.0,150000000.0,1,1401
20003386627,1,,0250000000,,53600000.0,,10000000.0,1,1401
20009393030,1,,,,29320000.0,,,1,1401
20003387035,1,,,3200000.0,32170000.0,,,1,1401
20007391826,1,,,6600000.0,,,40000000.0,1,1401
20011394635,1,,,17040000.0,10000000.0,,,1,1401
20011394625,1,,,20640000.0,10000000.0,,,1,1401
20007391820,1,,,20640000.0,10000000.0,,,1,1401
20011394632,1,,,24000000.0,10000000.0,,,1,1401
20002385819,1,,,12360000.0,10000000.0,,,1,1401
20002385835,1,,,360000000.0,20000000.0,,40000000.0,1,1401
20007392630,1,,,23340000.0,10000000.0,,,1,1401
20007392632,1,,,8960000.0,48400000.0,,12000000.0,1,1401
20010393429,1,0360000000,,12360000.0,10000000.0,,,1,1401
20012395826,1,,,6600000.0,24000000.0,,40000000.0,1,1401
20013397021,1,,,2400000.0,49940000.0,,,1,1401
20002385825,1,,,,10000000.0,,,1,1401
20003386626,1,0495000000,,,,,,1,1401
20003386623,1,0226000000,,,,,,1,1401
20002385828,1,,,24000000.0,10000000.0,,,1,1401
20007392627,1,0324000000,,22800000.0,,,,1,1401
20009393020,1,,,,22600000.0,,,1,1401
20007392635,1,,,1400000.0,10000000.0,30000000.0,,1,1401
20012395832,1,,,,10000000.0,,,1,1401
20010393423,1,0424000000,,,10000000.0,,,1,1401
20003386621,1,0324000000,,,,,,1,1401
20003387019,1,0577000000,,,10000000.0,,,1,1401
20003387024,1,,,1320000.0,44360000.0,,,1,1401
20006389435,1,,,,22600000.0,,140000000.0,1,1401
20006390626,1,,,,32190000.0,,,1,1401
20011395432,1,,,12360000.0,10000000.0,,,1,1401
20011395428,1,,,12360000.0,21600000.0,,120000000.0,1,1401
20006389432,1,,,,30640000.0,,,1,1401
20010394235,1,,,16560000.0,10000000.0,,,1,1401
20010394226,1,,,20640000.0,50000000.0,,,1,1401
20004388235,1,0060000000,,,,,60000000.0,1,1401
20002385832,1,,,12360000.0,10000000.0,,,1,1401
