Address,member,income_pension,income_rent,income_interest,income_aid,income_resale,income_transfer,Fasl,year
10001000226,1,0,0,0,10000000,0,0,1,1401
10001000230,1,432000000,0,4500000,10000000,0,0,1,1401
10001000232,1,960000000,0,5000000,10000000,0,0,1,1401
10001000232,2,0,0,5000000,0,0,0,1,1401
10001000232,3,0,0,5000000,0,0,0,1,1401
10001000232,4,0,0,5000000,0,0,0,1,1401
10001000235,1,0,400000000,124600000,20000000,0,0,1,1401
10001000238,6,0,300000000,240000000,0,0,0,1,1401
10001000241,1,60000000,0,0,0,0,0,1,1401
10001000625,1,740000000,400000000,4800000,10000000,0,0,1,1401
10001000625,2,0,0,4800000,0,0,0,1,1401
10001000625,3,0,0,4800000,0,0,0,1,1401
10001000627,1,0,350000000,205830000,16000000,0,0,1,1401
10001000627,2,0,0,244800000,0,0,0,1,1401
10001000632,1,1021500000,0,0,34180000,0,0,1,1401
10001000635,1,1040000000,0,1380000,19000000,0,0,1,1401
10001000638,1,1035000000,0,0,15000000,0,0,1,1401
10001000638,2,1020000000,0,0,0,0,0,1,1401
10001000641,1,0,0,0,25000000,0,0,1,1401
10001001125,1,720000000,0,0,51000000,0,0,1,1401
10001001128,1,0,0,0,18000000,0,0,1,1401
10001001132,1,600000000,0,5000000,41200000,0,0,1,1401
10001001132,2,0,0,5000000,0,0,0,1,1401
10001001132,3,0,0,5000000,0,0,0,1,1401
10001001132,4,0,0,5000000,0,0,0,1,1401
10001001135,1,0,0,4800000,24000000,0,0,1,1401
10001001135,2,0,0,4800000,0,0,0,1,1401
10001001135,3,0,0,4800000,0,0,0,1,1401
10001001135,4,0,0,4800000,0,0,0,1,1401
10001001141,1,1463000000,0,0,0,0,0,1,1401
10001001141,2,1216000000,0,0,0,0,0,1,1401
10001001527,1,0,0,4500000,10000000,0,0,1,1401
10001001527,2,0,0,4500000,0,0,0,1,1401
10001001527,3,0,0,4500000,0,0,0,1,1401
10001001528,1,162000000,0,12360000,10000000,0,0,1,1401
10001001528,2,0,0,4800000,0,0,0,1,1401
10001001532,1,0,0,16560000,42000000,0,0,1,1401
10001001534,1,0,400000000,204800000,10000000,0,172000000,1,1401
10001001538,1,0,60000000,12360000,10000000,0,0,1,1401
10001001541,1,0,0,25440000,10000000,0,0,1,1401
10001001541,2,0,0,4800000,0,0,0,1,1401
10001001541,3,0,0,4800000,0,0,0,1,1401
10001001541,4,0,0,4800000,0,0,0,1,1401
10001001925,1,0,0,0,19000000,0,0,1,1401
10001001929,1,0,0,4800000,10000000,0,0,1,1401
10001001929,2,0,0,4800000,0,0,0,1,1401
10001001932,1,660000000,0,4800000,25000000,0,0,1,1401
10001001932,2,0,0,4800000,0,0,0,1,1401
10001001932,3,0,0,4800000,0,0,0,1,1401
10001001932,4,0,0,4800000,0,0,0,1,1401
10001001932,5,0,0,4800000,0,0,0,1,1401
10001001935,1,0,0,0,19000000,0,0,1,1401
10001001938,1,0,0,4800000,16000000,0,0,1,1401
