Address,member,relation,gender,age,literacy,studying,degree,occupationalst,maritalst,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_income
20001384220,1,Head,Male,35,literate,No,Diploma,employed,Married,576000000.0,0.0,25600000.0,1960000.0,603560000.0
20001384220,2,Spouse,Female,30,literate,No,Diploma,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20013397029,1,Head,Male,50,literate,No,Secondary,employed,Married,602000004.0,0.0,157360000.0,1610000.0,760970004.0
20013397029,2,Spouse,Female,47,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20001384225,1,Head,Male,48,literate,No,Other,employed,Married,600000000.0,0.0,25600000.0,1960000.0,627560000.0
20001384225,2,Spouse,Female,43,literate,No,Diploma,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20001384232,1,Head,Male,40,literate,No,Secondary,employed,Married,0.0,797000000.0,25600000.0,1960000.0,824560000.0
20001384232,2,Spouse,Female,35,literate,No,Secondary,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20001384235,1,Head,Male,69,illiterate,No,No degree,IncomeWOJob,Married,0.0,0.0,560800000.0,1960000.0,562760000.0
20001384235,2,Spouse,Female,70,illiterate,No,No degree,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20011394620,1,Head,Male,25,literate,No,Bachelor,employed,Single,180000000.0,0.0,40640000.0,1610000.0,222250000.0
20011394620,2,Parent,Female,54,illiterate,No,No degree,Housewife,Widowed,0.0,0.0,0.0,16380000.0,16380000.0
20011394623,1,Head,Male,58,literate,No,Elemantry,employed,Married,0.0,73500000.0,27000000.0,1610000.0,102110000.0
20011394623,2,Spouse,Female,55,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20003387025,1,Head,Male,91,illiterate,No,No degree,IncomeWOJob,Married,0.0,0.0,87000000.0,10920000.0,97920000.0
20003387032,1,Head,Male,55,literate,No,Secondary,IncomeWOJob,Married,0.0,0.0,643540000.0,1610000.0,645150000.0
20003387032,2,Spouse,Female,54,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20007391823,1,Head,Male,30,literate,No,Elemantry,employed,Married,250000000.0,68500000.0,27040000.0,1610000.0,347150000.0
20007391823,2,Spouse,Female,26,literate,No,Diploma,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20007391832,1,Head,Male,46,literate,No,Elemantry,employed,Married,190000000.0,0.0,22360000.0,1610000.0,213970000.0
20007391832,2,Spouse,Female,45,illiterate,No,No degree,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20009393035,1,Head,Male,60,literate,No,College,IncomeWOJob,Married,0.0,0.0,575000000.0,1610000.0,576610000.0
20003387029,1,Head,Male,38,literate,No,Secondary,employed,Married,200000000.0,99000000.0,50700000.0,1610000.0,351310000.0
20003387029,2,Spouse,Female,36,literate,No,Secondary,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20009393032,1,Head,Male,65,illiterate,No,No degree,employed,Married,0.0,1177000000.0,0.0,10920000.0,1187920000.0
20004388232,1,Head,Male,72,illiterate,No,No degree,employed,Married,0.0,124900000.0,0.0,10920000.0,135820000.0
20006389428,1,Head,Male,53,literate,No,Bachelor,employed,Married,677400000.0,0.0,0.0,27300000.0,704700000.0
20006389419,1,Head,Male,60,literate,No,Elemantry,employed,Widowed,523800000.0,0.0,30160000.0,16380000.0,570340000.0
20003386635,1,Head,Male,45,literate,No,Secondary,employed,Divorced,80000000.0,76500000.0,0.0,10920000.0,167420000.0
20003386635,2,Parent,Male,72,illiterate,No,No degree,IncomeWOJob,Married,0.0,0.0,69000000.0,0.0,69000000.0
20003386632,1,Head,Male,36,literate,No,Elemantry,employed,Married,160000000.0,0.0,170000000.0,10920000.0,340920000.0
20007392630,1,Head,Male,38,literate,No,Diploma,employed,Married,311000000.0,0.0,33340000.0,1960000.0,346300000.0
20007392630,2,Spouse,Female,35,literate,No,Bachelor,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20007392632,1,Head,Female,40,literate,No,Elemantry,Housewife,Widowed,0.0,0.0,69360000.0,1960000.0,71320000.0
20007392632,2,Child,Female,10,literate,Yes,Elemantry,Student,Single,0.0,0.0,0.0,5460000.0,5460000.0
20010393429,1,Head,Male,75,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,382360000.0,1610000.0,383970000.0
20010393429,2,Spouse,Female,64,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20012395826,1,Head,Female,70,illiterate,No,No degree,IncomeWOJob,Widowed,0.0,0.0,70600000.0,5460000.0,76060000.0
20013397021,1,Head,Male,63,literate,No,Elemantry,employed,Married,0.0,250000000.0,52340000.0,1610000.0,303950000.0
20013397021,2,Spouse,Female,57,illiterate,No,No degree,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20002385828,1,Head,Male,57,literate,No,Elemantry,employed,Married,0.0,105000000.0,34000000.0,1610000.0,140610000.0
20002385828,2,Spouse,Female,52,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20007392627,1,Head,Male,51,literate,No,Secondary,IncomeWOJob,Married,0.0,0.0,346800000.0,21840000.0,368640000.0
20007392627,3,Child,Male,31,literate,No,Secondary,employed,Single,288000000.0,0.0,0.0,0.0,288000000.0
20007392627,4,Child,Female,28,literate,No,Bachelor,employed,Married,446400000.0,0.0,0.0,0.0,446400000.0
20007392635,1,Head,Male,59,literate,No,Elemantry,employed,Married,347845600.0,0.0,41400000.0,1960000.0,391205600.0
20007392635,2,Spouse,Female,56,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20003387035,1,Head,Male,51,literate,No,Elemantry,employed,Married,120000000.0,0.0,35370000.0,1610000.0,156980000.0
20003387035,2,Spouse,Female,50,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20007391826,1,Head,Female,65,illiterate,No,No degree,Housewife,Widowed,0.0,0.0,46600000.0,5460000.0,52060000.0
20011394635,1,Head,Male,44,literate,No,Elemantry,employed,Married,0.0,28000000.0,27040000.0,1610000.0,56650000.0
20011394635,2,Spouse,Female,37,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20011394625,1,Head,Male,37,literate,No,Secondary,employed,Married,170000000.0,0.0,30640000.0,1610000.0,202250000.0
20007391820,1,Head,Male,38,literate,No,Elemantry,employed,Married,165000000.0,0.0,30640000.0,1610000.0,197250000.0
20007391820,2,Spouse,Female,34,literate,No,Secondary,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20011394632,1,Head,Male,62,literate,No,Elemantry,employed,Married,26000000.0,62000000.0,34000000.0,27300000.0,149300000.0
20011394632,4,Child,Male,24,literate,No,Diploma,employed,Single,60000000.0,247000000.0,0.0,0.0,307000000.0
20011394632,5,Child,Male,21,literate,No,Secondary,employed,Single,50000000.0,0.0,0.0,0.0,50000000.0
20002385819,1,Head,Male,58,literate,No,Elemantry,employed,Married,0.0,322000000.0,22360000.0,1610000.0,345970000.0
20002385819,2,Spouse,Female,48,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20002385835,1,Head,Male,63,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,420000000.0,21840000.0,441840000.0
20002385835,3,Child,Male,21,literate,No,Diploma,employed,Single,112500000.0,0.0,0.0,0.0,112500000.0
20009393035,2,Spouse,Female,57,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20009393027,1,Head,Male,60,literate,No,Elemantry,employed,Married,0.0,68000000.0,600000000.0,10920000.0,678920000.0
20009393021,1,Head,Male,58,literate,No,Elemantry,employed,Married,0.0,150000000.0,23050000.0,1610000.0,174660000.0
20009393021,2,Spouse,Female,52,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20004388235,1,Head,Female,82,illiterate,No,No degree,IncomeWOJob,Widowed,0.0,0.0,120000000.0,5460000.0,125460000.0
20002385832,1,Head,Male,64,literate,No,Elemantry,employed,Married,0.0,129000000.0,22360000.0,1610000.0,152970000.0
20002385832,2,Spouse,Female,61,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,5460000.0,5460000.0
20011395435,1,Head,Male,37,literate,No,Diploma,employed,Married,488400000.0,0.0,30640000.0,1960000.0,521000000.0
20011395435,2,Spouse,Female,33,literate,No,Secondary,Housewife,Married,0.0,0.0,0.0,16800000.0,16800000.0
20006389424,1,Head,Male,40,literate,No,Diploma,employed,Married,597200004.0,0.0,17960000.0,16380000.0,631540004.0
20010394221,1,Head,Male,56,literate,No,Secondary,employed,Married,160000000.0,98000000.0,26560000.0,1960000.0,286520000.0
20010394221,2,Spouse,Female,48,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
20011395423,1,Head,Male,42,literate,No,Elemantry,employed,Married,0.0,20000000.0,42140000.0,1960000.0,64100000.0
20011395423,2,Spouse,Female,35,literate,No,Diploma,Housewife,Married,0.0,0.0,15000000.0,16380000.0,31380000.0
20010394223,1,Head,Male,43,literate,No,Secondary,employed,Married,0.0,140000000.0,30640000.0,1960000.0,172600000.0
20010394223,2,Spouse,Female,34,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,16380000.0,16380000.0
20002385825,1,Head,Male,57,literate,No,Elemantry,employed,Married,0.0,184500000.0,10000000.0,1610000.0,196110000.0
20002385825,2,Spouse,Female,53,literate,No,Elemantry,Housewife,Married,0.0,0.0,0.0,10920000.0,10920000.0
